Year,Income bracket,Tax Rate
1967,1464204.2042042043,70.0
1968,0.0,14.0
1968,7025.64841498559,15.0
1968,14051.29682997118,16.0
1968,21076.945244956773,17.0
1968,28102.59365994236,19.0
1968,56205.18731988472,22.0
1968,84307.78097982709,25.0
1968,112410.37463976943,28.0
1968,140512.9682997118,32.0
1968,168615.56195965418,36.0
1968,196718.1556195965,39.0
1968,224820.74927953887,42.0
1968,252923.34293948126,45.0
1968,281025.9365994236,48.0
1968,309128.530259366,50.0
1968,365333.71757925063,53.0
1968,449641.49855907774,55.0
1968,533949.2795389049,58.0
1968,618257.060518732,60.0
1968,702564.841498559,62.0
1968,843077.8097982708,64.0
1968,983590.7780979826,66.0
1968,1124103.7463976943,68.0
1968,1264616.7146974064,69.0
1968,1405129.682997118,70.0
1969,0.0,14.0
1969,6660.928961748634,15.0
1969,13321.857923497268,16.0
1969,19982.7868852459,17.0
1969,26643.715846994535,19.0
1969,53287.43169398907,22.0
1969,79931.1475409836,25.0
1969,106574.86338797814,28.0
1969,133218.57923497265,32.0
1969,159862.2950819672,36.0
1969,186506.01092896174,39.0
1969,213149.72677595628,42.0
1969,239793.4426229508,45.0
1969,266437.1584699453,48.0
1969,293080.87431693985,50.0
1969,346368.30601092894,53.0
1969,426299.45355191256,55.0
1969,506230.60109289613,58.0
1969,586161.7486338797,60.0
1969,666092.8961748633,62.0
1969,799311.475409836,64.0
1969,932530.0546448086,66.0
1969,1065748.6338797812,68.0
1969,1198967.213114754,69.0
1969,1332185.7923497267,70.0
1970,0.0,14.0
1970,6283.2474226804125,15.0
1970,12566.494845360825,16.0
1970,18849.74226804124,17.0
1970,25132.98969072165,19.0
1970,50265.9793814433,22.0
1970,75398.96907216495,25.0
1970,100531.9587628866,28.0
1970,125664.94845360826,32.0
1970,150797.9381443299,36.0
1970,175930.92783505155,39.0
1970,201063.9175257732,42.0
1970,226196.90721649484,45.0
1970,251329.89690721652,48.0
1970,276462.88659793814,50.0
1970,326728.86597938143,53.0
1970,402127.8350515464,55.0
1970,477526.8041237113,58.0
1970,552925.7731958763,60.0
1970,628324.7422680412,62.0
1970,753989.6907216496,64.0
1970,879654.6391752578,66.0
1970,1005319.5876288661,68.0
1970,1130984.5360824743,69.0
1970,1256649.4845360825,70.0
1971,0.0,14.0
1971,6019.506172839506,15.0
1971,12039.012345679012,16.0
1971,18058.51851851852,17.0
1971,24078.024691358023,19.0
1971,48156.049382716046,22.0
1971,72234.07407407407,25.0
1971,96312.09876543209,28.0
1971,120390.12345679011,32.0
1971,144468.14814814815,36.0
1971,168546.17283950615,39.0
1971,192624.19753086418,42.0
1971,216702.22222222222,45.0
1971,240780.24691358022,48.0
1971,264858.2716049383,50.0
1971,313014.3209876543,53.0
1971,385248.39506172837,55.0
1971,457482.4691358025,58.0
1971,529716.5432098766,60.0
1971,601950.6172839506,62.0
1971,722340.7407407408,64.0
1971,842730.8641975309,66.0
1971,963120.9876543209,68.0
1971,1083511.111111111,69.0
1971,1203901.2345679011,70.0
1972,0.0,14.0
1972,5846.282973621103,15.0
1972,11692.565947242207,16.0
1972,17538.848920863307,17.0
1972,23385.131894484413,19.0
1972,46770.26378896883,22.0
1972,70155.39568345323,25.0
1972,93540.52757793765,28.0
1972,116925.65947242205,32.0
1972,140310.79136690646,36.0
1972,163695.92326139088,39.0
1972,187081.0551558753,42.0
1972,210466.18705035967,45.0
1972,233851.3189448441,48.0
1972,257236.4508393285,50.0
1972,304006.7146282973,53.0
1972,374162.1103117506,55.0
1972,444317.5059952038,58.0
1972,514472.901678657,60.0
1972,584628.2973621103,62.0
1972,701553.9568345323,64.0
1972,818479.6163069544,66.0
1972,935405.2757793764,68.0
1972,1052330.9352517982,69.0
1972,1169256.5947242207,70.0
1973,0.0,14.0
1973,5515.6108597285065,15.0
1973,11031.221719457013,16.0
1973,16546.83257918552,17.0
1973,22062.443438914026,19.0
1973,44124.88687782805,22.0
1973,66187.33031674208,25.0
1973,88249.7737556561,28.0
1973,110312.21719457013,32.0
1973,132374.66063348416,36.0
1973,154437.10407239816,39.0
1973,176499.5475113122,42.0
1973,198561.99095022623,45.0
1973,220624.43438914025,48.0
1973,242686.87782805428,50.0
1973,286811.76470588235,53.0
1973,352999.0950226244,55.0
1973,419186.4253393665,58.0
1973,485373.75565610855,60.0
1973,551561.0859728506,62.0
1973,661873.3031674207,64.0
